224 105 0:59 / / rw,relatime - tmpfs tmpfs rw,mode=755,uid=1000,gid=1000,inode64
225 224 0:72 / /tmp rw,nosuid,nodev,relatime - tmpfs tmpfs rw,size=65536k,uid=1000,gid=1000,inode64
226 224 0:27 /usr/bin /bin rw,relatime - zfs rpool/os/gentoo rw,xattr,posixacl,casesensitive
227 224 0:6 /full /dev/full rw,nosuid,noexec - devtmpfs devtmpfs rw,size=10240k,nr_inodes=3985812,mode=755,inode64
228 224 0:6 /null /dev/null rw,nosuid,noexec - devtmpfs devtmpfs rw,size=10240k,nr_inodes=3985812,mode=755,inode64
229 224 0:6 /random /dev/random rw,nosuid,noexec - devtmpfs devtmpfs rw,size=10240k,nr_inodes=3985812,mode=755,inode64
230 224 0:6 /tty /dev/tty rw,nosuid,noexec - devtmpfs devtmpfs rw,size=10240k,nr_inodes=3985812,mode=755,inode64
231 224 0:6 /urandom /dev/urandom rw,nosuid,noexec - devtmpfs devtmpfs rw,size=10240k,nr_inodes=3985812,mode=755,inode64
232 224 0:6 /zero /dev/zero rw,nosuid,noexec - devtmpfs devtmpfs rw,size=10240k,nr_inodes=3985812,mode=755,inode64
233 224 0:27 /etc/ca-certificates.conf /etc/ca-certificates.conf rw,relatime - zfs rpool/os/gentoo rw,xattr,posixacl,casesensitive
234 224 0:27 /etc/ld.so.cache /etc/ld.so.cache rw,relatime - zfs rpool/os/gentoo rw,xattr,posixacl,casesensitive
235 224 0:27 /etc/ld.so.conf /etc/ld.so.conf rw,relatime - zfs rpool/os/gentoo rw,xattr,posixacl,casesensitive
236 224 0:27 /etc/ld.so.conf.d /etc/ld.so.conf.d rw,relatime - zfs rpool/os/gentoo rw,xattr,posixacl,casesensitive
237 224 0:27 /etc/nsswitch.conf /etc/nsswitch.conf rw,relatime - zfs rpool/os/gentoo rw,xattr,posixacl,casesensitive
238 224 0:27 /etc/protocols /etc/protocols rw,relatime - zfs rpool/os/gentoo rw,xattr,posixacl,casesensitive
239 224 0:27 /etc/services /etc/services rw,relatime - zfs rpool/os/gentoo rw,xattr,posixacl,casesensitive
240 224 0:27 /etc/ssl /etc/ssl rw,relatime - zfs rpool/os/gentoo rw,xattr,posixacl,casesensitive
241 224 0:34 /qaidvoid/.local/share/bun/bin /home/qaidvoid/.local/share/bun/bin rw,relatime - zfs rpool/home rw,xattr,posixacl,casesensitive
242 224 0:34 /qaidvoid/.local/share/bun/install/global/node_modules/@earendil-works/pi-coding-agent /home/qaidvoid/.local/share/bun/install/global/node_modules/@earendil-works/pi-coding-agent rw,relatime - zfs rpool/home rw,xattr,posixacl,casesensitive
243 224 0:34 /qaidvoid/.local/share/mise/installs/node/26.8.1/bin /home/qaidvoid/.local/share/mise/installs/node/26.8.1/bin rw,relatime - zfs rpool/home rw,xattr,posixacl,casesensitive
244 224 0:34 /qaidvoid/.local/state/pi-discord/2ewa7z5 /state rw,relatime - zfs rpool/home rw,xattr,posixacl,casesensitive
245 224 0:34 /qaidvoid/.local/state/pi-discord/resolv.conf /etc/resolv.conf rw,relatime - zfs rpool/home rw,xattr,posixacl,casesensitive
246 224 0:38 /pi-projects/2ewa7z5 /workspace rw,relatime - zfs rpool/home/dev rw,xattr,posixacl,casesensitive
247 224 0:27 /usr/lib /lib rw,relatime - zfs rpool/os/gentoo rw,xattr,posixacl,casesensitive
248 224 0:27 /usr/lib64 /lib64 rw,relatime - zfs rpool/os/gentoo rw,xattr,posixacl,casesensitive
249 224 0:27 /usr/bin /sbin rw,relatime - zfs rpool/os/gentoo rw,xattr,posixacl,casesensitive
250 224 0:27 /usr /usr rw,relatime - zfs rpool/os/gentoo rw,xattr,posixacl,casesensitive
251 224 0:75 / /dev/shm rw,nosuid,nodev,relatime - tmpfs tmpfs rw,size=262144k,uid=1000,gid=1000,inode64
252 224 0:79 / /proc rw,relatime - proc proc rw
